symbol,name,currency,summary,category_group,category,family,exchange,isin,trading_days,last_price,avg_volume,avg_dollar_volume,liquidity_rank,asset_type,size_metric,market_bucket,candidate_status,candidate_fail_reasons
XLK,Technology Select Sector SPDR Fund,USD,"The investment seeks investment results that, before expenses, correspond generally to the price and yield performance of publicly traded equity securities of companies in the Technology Select Sector Index.
 In seeking to track the performance of the index, the fund employs a replication strategy, which means that the fund typically invests in substantially all of the securities represented in the index in approximately the same proportions as the index. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The fund is non-diversified.",Information Technology,Technology,State Street Global Advisors,PCX,,124,150.3000030517578,17740937.096774194,2511455314.8973155,15,ETF,40890015744.0,equity,PASS,
GDX,VanEck Vectors Gold Miners ETF,USD,"The investment seeks to replicate as closely as possible, before fees and expenses, the price and yield performance of the NYSEÂ® Arca Gold Miners IndexÂ®.
 The fund normally invests at least 80% of its total assets in common stocks and depositary receipts of companies involved in the gold mining industry. The index is a modified market-capitalization weighted index primarily comprised of publicly traded companies involved in the mining for gold and silver. The fund is non-diversified.",Materials,Materials,VanEck Asset Management,PCX,,124,97.7699966430664,27750388.70967742,2483807461.530883,16,ETF,28155811840.0,commodity,PASS,
EEM,iShares MSCI Emerging Markets ETF,USD,"The investment seeks to track the investment results of the MSCI Emerging Markets Index.
 The fund generally invests at least 90% of its assets in the securities of its underlying index and in depositary receipts representing securities in its underlying index. The index is designed to measure equity market performance in the global emerging markets. The underlying index will include large- and mid-capitalization companies and may change over time.",Financials,Emerging Markets,BlackRock Asset Management,PCX,,124,62.20000076293945,35827347.58064516,2054933912.5072265,19,ETF,46799282176.0,equity,PASS,
EFA,iShares MSCI EAFE ETF,USD,"The investment seeks to track the investment results of the MSCI EAFE Index composed of large- and mid-capitalization developed market equities, excluding the U.S. and Canada.
 The fund generally invests at least 90% of its assets in securities of the underlying index and in depositary receipts representing securities of the underlying index. The index measures the equity market performance of developed markets outside of the U.S. and Canada. The underlying index may include large- or mid-capitalization companies.",Equities,Developed Markets,BlackRock Asset Management,PCX,,124,103.30999755859376,20732257.258064516,2024819165.7825775,20,ETF,96946102272.0,equity,PASS,
XLV,Health Care Select Sector SPDR Fund,USD,"The investment seeks investment results that, before expenses, correspond generally to the price and yield performance of publicly traded equity securities of companies in the Health Care Select Sector Index.
 In seeking to track the performance of the index, the fund employs a replication strategy. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies from the following industries: pharmaceuticals; health care equipment & supplies; health care providers & services; biotechnology; life sciences tools & services; and health care technology. The fund is non-diversified.",Health Care,Health Care,State Street Global Advisors,PCX,,124,147.77000427246094,13303254.838709677,2019082496.929747,21,ETF,29172017152.0,equity,PASS,
XLI,Industrial Select Sector SPDR Fund,USD,"The investment seeks to provide investment results that, before expenses, correspond generally to the price and yield performance of publicly traded equity securities of companies in the Industrial Select Sector Index.
 Under normal market conditions, the fund generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes securities of companies from the following industries: aerospace and defense; industrial conglomerates; marine; transportation infrastructure; machinery; road and rail; air freight and logistics; commercial services and supplies; etc. It is non-diversified.",Industrials,Industrials,State Street Global Advisors,PCX,,124,171.17999267578125,12049427.41935484,1951078536.8221776,23,ETF,23387637760.0,equity,PASS,
VTI,Vanguard Total Stock Market Index Fund ETF Shares,USD,"The investment seeks to track the performance of the CRSP US Total Market Index that measures the investment return of the overall stock market.
 The fund employs an indexing investment approach designed to track the performance of the index, which represents approximately 100% of the investable U.S. stock market and includes large-, mid-, small-, and micro-cap stocks regularly traded on the New York Stock Exchange and Nasdaq. It invests by sampling the index, meaning that it holds a broadly diversified collection of securities that, in the aggregate, approximates the full index in terms of key characteristics.",Financials,Blend,Vanguard Asset Management,PCX,,124,345.239990234375,5282362.903225807,1761412760.7576923,24,ETF,715931123712.0,equity,PASS,
IEFA,iShares Core MSCI EAFE ETF,USD,"The investment seeks to track the investment results of the MSCI EAFE IMI Index composed of large-, mid- and small-capitalization developed market equities, excluding the U.S. and Canada.
 The fund generally will invest at least 90% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is designed to measure large-, mid- and small-capitalization equity market performance and includes stocks from Europe, Australasia and the Far East.",Information Technology,Developed Markets,BlackRock Asset Management,BTS,,124,96.43000030517578,14561125.806451611,1328682097.922522,28,ETF,169633218560.0,equity,PASS,
QQQM,Invesco NASDAQ 100 ETF,USD,"The investment seeks to track the investment results (before fees and expenses) of the NASDAQ-100 IndexÂ® (the âunderlying indexâ).
 The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. Strictly in accordance with its guidelines and mandated procedures, Nasdaq, Inc. (âNasdaqâ or the âindex providerâ) compiles, maintains and calculates the underlying index, which includes securities of 100 of the largest domestic and international nonfinancial companies listed on The Nasdaq Stock Market LLC based on market capitalization. It is non-diversified.",Information Technology,Large Cap,Invesco Investment Management,NGM,,124,262.4800109863281,4992720.9677419355,1252286406.157709,31,ETF,68830765056.0,equity,PASS,
IAU,iShares Gold Trust,USD,"The investment seeks to reflect generally the performance of the price of gold.
 The Trust seeks to reflect such performance before payment of the Trustâs expenses and liabilities. It is not actively managed. The Trust does not engage in any activities designed to obtain a profit from, or to ameliorate losses caused by, changes in the price of gold. The advisor intends to constitute a simple and cost-effective means of making an investment similar to an investment in gold. An investment in physical gold requires expensive and sometimes complicated arrangements in connection with the assay, transportation, warehousing and insurance of the metal.",Commodities,,BlackRock Asset Management,PCX,,124,90.23999786376952,13727041.129032258,1200292579.769885,34,ETF,87546339328.0,commodity,PASS,
IWF,iShares Russell 1000 Growth ETF,USD,"The investment seeks to track the investment results of the Russell 1000Â® Growth Index, which measures the performance of large- and mid-capitalization growth sectors of the U.S. equity market.
 The fund generally invests at least 90% of its assets in securities of the underlying index and in depositary receipts representing securities of the underlying index. It may invest the remainder of its assets in certain futures, options and swap contracts, cash and cash equivalents, as well as in securities not included in the underlying index, but which the advisor believes will help the fund track the underlying index.",Equities,Growth,BlackRock Asset Management,PCX,,124,468.9100036621094,2512970.1612903224,1148234935.2849653,37,ETF,132795310080.0,equity,PASS,
VEA,Vanguard FTSE Developed Markets Index Fund ETF Shares,USD,"The investment seeks to track the performance of the FTSE Developed All Cap ex US Index.
 The fund employs an indexing investment approach designed to track the performance of the FTSE Developed All Cap ex US Index, a market-capitalization-weighted index that is made up of approximately 3865 common stocks of large-, mid-, and small-cap companies located in Canada and the major markets of Europe and the Pacific region. The adviser attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index.",Equities,Developed Markets,Vanguard Asset Management,PCX,,124,68.69999694824219,17587287.903225806,1126878136.981804,38,ETF,282201522176.0,equity,PASS,
IEMG,iShares Core MSCI Emerging Markets ETF,USD,"The investment seeks to track the investment results of the MSCI Emerging Markets Investable Market Index.
 The fund generally will invest at least 90% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is designed to measure large-, mid- and small-cap equity market performance in the global emerging markets. It is non-diversified.",Financials,Emerging Markets,BlackRock Asset Management,PCX,,124,76.29000091552734,15934941.129032258,1117755194.196898,39,ETF,87794532352.0,equity,PASS,
SPLG,SPDR Portfolio S&P 500 ETF,USD,"The investment seeks to provide investment results that, before fees and expenses, correspond generally to the total return performance of the S&P 500 Index.
 Under normal market conditions, the fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index is designed to measure the performance of the large-capitalization segment of the U.S. equity market.",Financials,Large Cap,State Street Global Advisors,PCX,,123,82.37999725341797,13108355.674796749,1036688901.2765224,41,ETF,97328324608.0,equity,PASS,
GLDM,SPDR Gold MiniShares,USD,"The investment seeks to reflect the performance of the price of gold bullion, less the expenses of operations.
 The Shares are designed for investors who want a cost-effective and convenient way to invest in gold. Advantages of investing in the Shares include ease and flexibility of investment and expenses.",Commodities,,State Street Global Advisors,PCX,,124,94.91000366210938,9546073.387096774,881560945.2857971,47,ETF,29616130048.0,commodity,PASS,
IWD,iShares Russell 1000 Value ETF,USD,"The investment seeks to track the investment results of the Russell 1000Â® Value Index (the ""underlying index""), which measures the performance of large- and mid- capitalization value sectors of the U.S. equity market.
 The fund generally invests at least 90% of its assets in securities of the underlying index and in depositary receipts representing securities of the underlying index. It may invest the remainder of its assets in certain futures, options and swap contracts, cash and cash equivalents, as well as in securities not included in the underlying index, but which the advisor believes will help the fund track the underlying index.",Equities,Value,BlackRock Asset Management,PCX,,124,224.02000427246097,4139978.2258064514,878073301.0478358,48,ETF,68415709184.0,equity,PASS,
VTV,Vanguard Value Index Fund ETF Shares,USD,"The investment seeks to track the performance of a benchmark index that measures the investment return of large-capitalization value stocks.
 The fund employs an indexing investment approach designed to track the performance of the CRSP US Large Cap Value Index, a broadly diversified index predominantly made up of value stocks of large U.S. companies. The advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index.",Financials,Value,Vanguard Asset Management,PCX,,124,202.0399932861328,4395345.9677419355,852864089.940188,50,ETF,85715673088.0,equity,PASS,
XLC,Communication Services Select Sector SPDR Fund,USD,"The investment seeks to correspond generally to the price and yield performance of publicly traded equity securities of companies in the Communication Services Select Sector Index.
 Normally, the fund generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies that have been identified as Communication Services companies by the GICSÂ®, including securities of companies from the following industries: diversified telecommunication services; wireless telecommunication services; media; entertainment; and interactive media & services. The fund is non-diversified.",Communication Services,Communications,State Street Global Advisors,PCX,,124,117.36000061035156,6688517.741935484,767930933.1099049,51,ETF,24108154880.0,equity,PASS,
IJR,iShares Core S&P Small-Cap ETF,USD,"The investment seeks to track the investment results of the S&P SmallCap 600 (the ""underlying index""), which measures the performance of the small-capitalization sector of the U.S. equity market.
 The fund generally invests at least 90% of its assets in securities of the underlying index and in depositary receipts representing securities of the underlying index. It may invest the remainder of its assets in certain futures, options and swap contracts, cash and cash equivalents, as well as in securities not included in the underlying index, but which the advisor believes will help the fund track the underlying index.",Financials,Small Cap,BlackRock Asset Management,PCX,,124,132.25999450683594,6042660.483870967,747998264.3618307,53,ETF,74826096640.0,equity,PASS,
VUG,Vanguard Growth Index Fund ETF Shares,USD,"The investment seeks to track the performance of the CRSP US Large Cap Growth Index that measures the investment return of large-capitalization growth stocks.
 The fund employs an indexing investment approach designed to track the performance of the index, a broadly diversified index predominantly made up of growth stocks of large U.S. companies. The advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index.",Financials,Growth,Vanguard Asset Management,PCX,,124,485.6600036621094,1539028.2258064516,726100407.8504255,56,ETF,117562261504.0,equity,PASS,
EWJ,iShares MSCI Japan ETF,USD,"The investment seeks to track the investment results of the MSCI Japan Index.
 The fund will at all times invest at least 90% of its assets in the securities of its underlying index and in depositary receipts representing securities in its underlying index. The underlying index primarily consists of stocks traded on the Tokyo Stock Exchange. It will include large- and mid-capitalization companies and may change over time.",Equities,Developed Markets,BlackRock Asset Management,PCX,,124,89.06999969482422,8332652.419354838,707457037.2724288,59,ETF,20294598656.0,equity,PASS,
ACWI,iShares MSCI ACWI ETF,USD,"The investment seeks to track the investment results of the MSCI ACWI composed of large- and mid-capitalization developed and emerging market equities.
 The fund generally will invest at least 90% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is a free float-adjusted market capitalization index designed to measure the combined equity market performance of developed and emerging markets countries.",Alternatives,Blend,BlackRock Asset Management,NGM,,124,148.8000030517578,4832085.483870967,687528771.546653,61,ETF,28206403584.0,equity,PASS,
MDY,SPDR S&P MIDCAP 400 ETF Trust,USD,"The investment seeks to provide investment results that, before expenses, correspond generally to the price and yield performance of the S&P MidCap 400Â® Indexâ¢.
 The Trust seeks to achieve its investment objective by holding a portfolio of the common stocks that are included in the index (the âPortfolioâ), with the weight of each stock in the Portfolio substantially corresponding to the weight of such stock in the index.",Alternatives,Mid Cap,State Street Global Advisors,PCX,,124,651.4000244140625,1087485.4838709678,670815292.8291566,62,ETF,36097396736.0,equity,PASS,
VT,Vanguard Total World Stock Index Fund ETF Shares,USD,"The investment seeks to track the performance of a benchmark index that measures the investment return of stocks of companies located in developed and emerging markets around the world.
 The fund employs an indexing investment approach designed to track the performance of the FTSE Global All Cap Index. The advisor attempts to sample the target index by investing all, or substantially all, of its assets in common stocks in the index and by holding a representative sample of securities that resembles the full index in terms of key risk factors and other characteristics.",Financials,Blend,Vanguard Asset Management,PCX,,124,148.6199951171875,4567678.225806451,648230292.8642519,64,ETF,79217811456.0,equity,PASS,
SCHD,Schwab U.S. Dividend Equity ETF,USD,"The investment seeks to track as closely as possible, before fees and expenses, the total return of the Dow Jones U.S. Dividend 100â¢ Index.
 To pursue its goal, the fund generally invests in stocks that are included in the index. The index is designed to measure the performance of high dividend yielding stocks issued by U.S. companies that have a record of consistently paying dividends, selected for fundamental strength relative to their peers, based on financial ratios. The fund invests at least 90% of its net assets in stocks that are included in the index.",Fixed Income,Value,Schwab ETFs,PCX,,124,30.649999618530273,21216602.419354837,615832984.2530375,65,ETF,84820000768.0,equity,PASS,
VWO,Vanguard FTSE Emerging Markets Index Fund ETF Shares,USD,"The investment seeks to track the performance of a benchmark index that measures the investment return of stocks issued by companies located in emerging market countries.
 The fund employs an indexing investment approach designed to track the performance of the FTSE Emerging Markets All Cap China A Inclusion Index. It invests by sampling the index, meaning that it holds a broadly diversified collection of securities that, in the aggregate, approximates the index in terms of key characteristics.",Financials,Emerging Markets,Vanguard Asset Management,PCX,,124,58.09000015258789,11145454.032258064,612930974.2999231,66,ETF,82378588160.0,equity,PASS,
VXUS,Vanguard Total International Stock Index Fund ETF Shares,USD,"The investment seeks to track the performance of a benchmark index that measures the investment return of stocks issued by companies located in developed and emerging markets, excluding the United States.
 The fund employs an indexing investment approach designed to track the performance of the FTSE Global All Cap ex US Index, a float-adjusted market-capitalization-weighted index designed to measure equity market performance of companies located in developed and emerging markets, excluding the United States. It invests all, or substantially all, of its assets in the common stocks included in its target index.",Financials,Developed Markets,Vanguard Asset Management,NGM,,124,82.6500015258789,7874307.258064516,612352330.6833882,67,ETF,582269730816.0,equity,PASS,
SCHX,Schwab U.S. Large-Cap ETF,USD,"The investment seeks to track as closely as possible, before fees and expenses, the total return of the Dow Jones U.S. Large-Cap Total Stock Market Index.
 To pursue its goal, the fund generally invests in stocks that are included in the Dow Jones U.S. Large-Cap Total Stock Market Index. The index includes the large-cap portion of the Dow Jones U.S. Total Stock Market Index actually available to investors in the marketplace. The Dow Jones U.S. Large-Cap Total Stock Market Index includes the components ranked 1-750 by full market capitalization. The index is a float-adjusted market capitalization weighted index.",Fixed Income,Large Cap,Schwab ETFs,PCX,,124,27.59000015258789,21810377.419354837,579753555.8048309,69,ETF,61436944384.0,equity,PASS,
IWB,iShares Russell 1000 ETF,USD,"The investment seeks to track the investment results of the Russell 1000Â® Index, which measures the performance of large- and mid- capitalization sectors of the U.S. equity market.
 The fund generally invests at least 90% of its assets in securities of the underlying index and in depositary receipts representing securities of the underlying index. It may invest the remainder of its assets in certain futures, options and swap contracts, cash and cash equivalents, as well as in securities not included in the underlying index, but which the advisor believes will help the fund track the underlying index.",Equities,Large Cap,BlackRock Asset Management,PCX,,124,383.3200073242187,1457299.1935483871,538087367.2301754,70,ETF,48010829824.0,equity,PASS,
SCHG,Schwab U.S. Large-Cap Growth ETF,USD,"The investment seeks to track as closely as possible, before fees and expenses, the total return of the Dow Jones U.S. Large-Cap Growth Total Stock Market Index.
 To pursue its goal, the fund generally invests in stocks that are included in the Dow Jones U.S. Large-Cap Growth Total Stock Market Index. The index includes the large-cap growth portion of the Dow Jones U.S. Total Stock Market Index actually available to investors in the marketplace. The Dow Jones U.S. Large-Cap Growth Total Stock Market Index includes the components ranked 1-750 by full market capitalization and that are classified as ""growth"" based on a number of factors.",Fixed Income,Growth,Schwab ETFs,PCX,,124,32.09000015258789,15282495.161290323,477457771.64579976,74,ETF,48416563200.0,equity,PASS,
VGT,Vanguard Information Technology Index Fund ETF Shares,USD,"The investment seeks to track the performance of a benchmark index.
 The fund employs an indexing investment approach designed to track the performance of the MSCI US Investable Market Index/Information Technology 25/50, an index made up of stocks of large, mid-size, and small U.S. companies within the information technology sector, as classified under the Global Industry Classification Standard. The Advisor attempts to replicate the target index by seeking to invest all, or substantially all, of its assets in the stocks that make up the index, in order to hold each stock in approximately the same proportion as its weighting in the index. It is non-diversified.",Information Technology,Developed Markets,Vanguard Asset Management,PCX,,124,784.02001953125,541477.4193548387,402981823.761134,80,ETF,121284206592.0,equity,PASS,
VNQ,Vanguard Real Estate Index Fund ETF Shares,USD,"The investment seeks to provide a high level of income and moderate long-term capital appreciation by tracking the performance of the MSCI US Investable Market Real Estate 25/50 Index that measures the performance of publicly traded equity REITs and other real estate-related investments.
 The advisor attempts to track the index by investing all, or substantially all, of its assets-either directly or indirectly through a wholly owned subsidiary, which is itself a registered investment company-in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index. The fund is non-diversified.",Real Estate,REITs,Vanguard Asset Management,PCX,,124,94.29000091552734,3994151.6129032257,358221199.03085154,84,ETF,34904367104.0,equity,PASS,
VIG,Vanguard Dividend Appreciation Index Fund ETF Shares,USD,"The investment seeks to track the performance of a benchmark index that measures the investment return of common stocks of companies that have a record of increasing dividends over time.
 The fund employs an indexing investment approach designed to track the performance of the Nasdaq US Dividend Achievers Select Index, which consists of common stocks of companies that have a record of increasing dividends over time. The adviser attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index.",Alternatives,Developed Markets,Vanguard Asset Management,PCX,,124,224.3699951171875,1544383.064516129,339294017.91069275,88,ETF,117045436416.0,equity,PASS,
VONG,Vanguard Russell 1000 Growth Index Fund ETF Shares,USD,"The investment seeks to track the performance of the Russell 1000Â® Growth Index.
 The index is designed to measure the performance of large-capitalization growth stocks in the United States. The Advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index. The fund may become non-diversified, as defined under the Investment Company Act of 1940, solely as a result of a change in relative market capitalization or index weighting of one or more constituents of the index.",Financials,Growth,Vanguard Asset Management,NMS,,124,120.6500015258789,2775600.806451613,326830099.1807261,91,ETF,44948783104.0,equity,PASS,
JEPI,JPMorgan Equity Premium Income ETF,USD,"The investment seeks current income while maintaining prospects for capital appreciation.
 The fund seeks to provide the majority of the returns associated with its primary benchmark, the Standard & Poor&#39;s 500 Total Return Index (S&P 500 Index), while exposing investors to less risk through lower volatility and still offering incremental income. Under normal circumstances, the fund invests at least 80% of its assets in equity securities. It may also invest in other equity securities not included in the S&P 500 Index.",Financials,Developed Markets,JPMorgan Asset Management,PCX,,124,57.61000061035156,5338408.870967742,301816306.8427578,97,ETF,43964334080.0,equity,PASS,
VGK,Vanguard FTSE Europe Index Fund ETF Shares,USD,"The investment seeks to track the performance of a benchmark index that measures the investment return of stocks issued by companies located in the major markets of Europe.
 The fund employs an indexing investment approach by investing all, or substantially all, of its assets in the common stocks included in the FTSE Developed Europe All Cap Index. The index is a market-capitalization-weighted index.",Equities,Developed Markets,Vanguard Asset Management,PCX,,124,88.02999877929688,3581557.2580645164,298678906.35503954,98,ETF,24832645120.0,equity,PASS,
SCHF,Schwab International Equity ETF,USD,"The investment seeks to track as closely as possible, before fees and expenses, the total return of the FTSE Developed ex US Index.
 The index is comprised of large and mid capitalization companies in developed countries outside the United States, as defined by the index provider. The index defines the large and mid capitalization universe as approximately the top 90% of the eligible universe. The fund will invest at least 90% of its net assets in stocks, including depositary receipts representing securities of the index; such depositary receipts may be in the form of American Depositary Receipts, Global Depositary Receipts and European Depositary Receipts.",Fixed Income,Developed Markets,Schwab ETFs,PCX,,124,26.5,12017678.225806452,296453445.9837098,100,ETF,56551763968.0,equity,PASS,
VEU,Vanguard FTSE All-World ex-US Index Fund ETF Shares,USD,"The investment seeks to track the performance of a benchmark index that measures the investment return of stocks of companies located in developed and emerging markets outside of the United States.
 The fund employs an indexing investment approach designed to track the performance of the FTSE All-World ex US Index. The advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index.",Real Estate,Developed Markets,Vanguard Asset Management,PCX,,124,80.48999786376953,3648478.2258064514,276090705.256499,105,ETF,37239341056.0,equity,PASS,
IWR,iShares Russell Mid-Cap ETF,USD,"The investment seeks to track the investment results of the Russell Midcap Index, which measures the performance of the mid-capitalization sector of the U.S. equity market.
 The fund generally invests at least 90% of its assets in securities of the underlying index and in depositary receipts representing securities of the underlying index. It may invest the remainder of its assets in certain futures, options and swap contracts, cash and cash equivalents, as well as in securities not included in the underlying index, but which the advisor believes will help the fund track the underlying index.",Equities,Mid Cap,BlackRock Asset Management,PCX,,124,102.26000213623048,2742337.9032258065,268095833.45227396,106,ETF,35755208704.0,equity,PASS,
IVE,iShares S&P 500 Value ETF,USD,"The investment seeks to track the investment results of the S&P 500 Value IndexTM, which measures the performance of the large-capitalization value sector of the U.S. equity market.
 The fund generally invests at least 90% of its assets in securities of the underlying index and in depositary receipts representing securities of the underlying index. It may invest the remainder of its assets in certain futures, options and swap contracts, cash and cash equivalents, as well as in securities not included in the underlying index, but which the advisor believes will help the fund track the underlying index.",Equities,Value,BlackRock Asset Management,PCX,,124,218.0099945068359,1233208.8709677418,260902961.7709006,109,ETF,28984428544.0,equity,PASS,
